project_id,locality_id,name,project_type,status,budget,start_date,end_date,responsible_agency
1,1,Ramallah Central Water Main,well,ongoing,450000,2024-05-10,2025-12-30,PWA
2,1,Ramallah High Street Paving,road,completed,120000,2023-01-15,2023-08-20,MoPWH
3,1,Al-Quds Road Lighting,electricity upgrade,ongoing,95000,2024-11-01,2025-04-15,MoLG
4,1,Old City Drainage System,road,planned,75000,2025-06-01,2025-09-01,MoLG
5,1,Public Library Renovation,public_building,ongoing,200000,2024-02-15,2025-01-20,NGO-UNDP
6,2,Abu Qashsh Solar Street Lighting,electricity upgrade,planned,65000,2025-04-12,2025-10-30,MoLG
7,2,Local Water Reservoir 2,well,ongoing,180000,2024-08-01,2025-06-15,PWA
8,2,School Entrance Sidewalks,road,completed,30000,2023-05-10,2023-07-01,MoLG
9,2,Community Center Foundation,public_building,ongoing,400000,2024-01-15,2025-05-20,NGO-Local
10,2,Village Power Grid Upgrade,electricity upgrade,planned,110000,2025-09-01,2026-03-01,MoLG
11,3,Abu Shukhaydam Primary Well,well,ongoing,220000,2024-03-10,2025-02-15,PWA
12,3,New Village Clinic Construction,hospital,planned,600000,2025-11-01,2027-01-15,MoH
13,3,Northern Road Connection,road,ongoing,340000,2024-07-20,2025-08-10,MoPWH
14,3,Public Park Landscaping,public_building,completed,45000,2023-02-01,2023-06-30,MoLG
15,3,Grid Extension Sector D,electricity upgrade,ongoing,85000,2024-09-15,2025-01-25,MoLG
16,4,Abud Roman Site Restoration,public_building,ongoing,55000,2024-03-15,2025-01-10,MoLG
17,4,Western Access Road Repair,road,planned,130000,2025-05-10,2025-11-15,MoPWH
18,4,Abud Water Network Phase 2,well,ongoing,280000,2024-08-01,2025-06-15,PWA
19,4,Primary School Solar Panels,electricity upgrade,completed,40000,2023-06-10,2023-10-15,MoE
20,4,Main Square Streetscape,road,ongoing,95000,2024-12-01,2025-04-20,MoLG
21,5,Abwein Agricultural Road,road,ongoing,110000,2024-09-10,2025-03-15,MoLG
22,5,Village Clinic Upgrade,hospital,planned,250000,2025-08-01,2026-04-10,MoH
23,5,Central Transformer Upgrade,electricity upgrade,ongoing,75000,2024-11-15,2025-02-28,MoLG
24,5,Abwein Public Park,public_building,completed,35000,2023-04-01,2023-08-15,NGO-Local
